"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"54","C10 vs C15",1,1.01311525737669,6.87444945221847,0.28794169540859,0.001,0.0010709939148073,"*"
"55","C10 vs C16",1,1.19050141446979,10.4365849897577,0.367012599913694,0.001,0.0010709939148073,"*"
"56","C10 vs C33",1,1.0922808031844,7.86065132057248,0.303961846247826,0.001,0.0010709939148073,"*"
"57","C10 vs C36",1,1.02253866710605,8.71617603808149,0.326250883571712,0.001,0.0010709939148073,"*"
"58","C10 vs C56",1,1.20172555769717,8.98792376061415,0.333035021157538,0.001,0.0010709939148073,"*"
"59","C10 vs C87",1,0.961880323380692,6.36842156772487,0.26133910848619,0.001,0.0010709939148073,"*"
"60","C10 vs C88",1,1.08323468272586,8.70926008196754,0.326076426499269,0.001,0.0010709939148073,"*"
"61","C10 vs C89",1,0.746544577290519,6.4981597316534,0.265250933246929,0.001,0.0010709939148073,"*"
"62","C10 vs C90",1,0.866214719990104,7.12003433634944,0.283440469905988,0.001,0.0010709939148073,"*"
"63","C10 vs C91",1,0.698495390007614,6.02863933199975,0.250893912414392,0.001,0.0010709939148073,"*"
"64","C37 vs C38",1,0.63253543872289,9.19839937919186,0.338196349386247,0.001,0.0010709939148073,"*"
"65","C37 vs C41",1,0.429306604120086,6.51050456589326,0.27691896393147,0.001,0.0010709939148073,"*"
"66","C37 vs C44",1,0.546961863448364,5.38780568293837,0.230368156635953,0.001,0.0010709939148073,"*"
"67","C37 vs C47",1,1.30664209791282,12.7095319434946,0.413862769607823,0.001,0.0010709939148073,"*"
"68","C37 vs C52",1,1.18919878790772,11.0140327567449,0.379610543942206,0.001,0.0010709939148073,"*"
"69","C37 vs C55",1,1.23959169084087,15.7121749804071,0.466068267311104,0.001,0.0010709939148073,"*"
"70","C37 vs C58",1,0.884475152246752,9.09561152404082,0.33568578129232,0.001,0.0010709939148073,"*"
"71","C37 vs C8",1,0.448110233037289,6.16942662122527,0.255257467126148,0.001,0.0010709939148073,"*"
"72","C37 vs C13",1,1.01463647067562,10.2332712464241,0.362454324088295,0.001,0.0010709939148073,"*"
"73","C37 vs C17",1,1.08806978739526,14.5915517911261,0.447709636062774,0.001,0.0010709939148073,"*"
"74","C37 vs C18",1,1.02701195313739,8.09367297781782,0.31017760453648,0.001,0.0010709939148073,"*"
"75","C37 vs C28",1,0.780638540824761,11.5862228028833,0.391608718695723,0.001,0.0010709939148073,"*"
"76","C37 vs C59",1,0.627211757230923,8.34149243070613,0.316667419382149,0.002,0.0020665362035225,"*"
"77","C37 vs C65",1,0.640775410185674,6.91646093269183,0.289192491822132,0.001,0.0010709939148073,"*"
